,,,psnr,psnr,psnr,psnr,ssim,ssim,time,time
,,,mean,std,min,max,mean,std,mean,std
algorithm,noise_type,noise_info,,,,,,,,
BM3D,gaussian,gaussian_sigma_10,12.082,0.304,11.897,12.433,0.242,0.079,2.541,0.677
BM3D,gaussian,gaussian_sigma_25,8.006,0.304,7.681,8.283,0.07,0.024,2.525,0.61
BM3D,gaussian,gaussian_sigma_50,6.961,0.458,6.518,7.432,0.017,0.006,2.559,0.693
BM3D,salt_pepper,salt_pepper_0.04,8.003,0.312,7.673,8.292,0.071,0.024,2.595,0.658
BM3D,salt_pepper,salt_pepper_0.10,7.962,0.326,7.622,8.272,0.07,0.025,2.575,0.579
BM3D,salt_pepper,salt_pepper_0.20,7.885,0.355,7.528,8.237,0.068,0.024,2.573,0.638
ISTA,gaussian,gaussian_sigma_10,19.224,0.029,19.194,19.253,0.749,0.065,0.01,0.006
ISTA,gaussian,gaussian_sigma_25,17.28,0.042,17.232,17.308,0.491,0.068,0.011,0.005
ISTA,gaussian,gaussian_sigma_50,14.078,0.025,14.05,14.098,0.272,0.045,0.01,0.005
ISTA,salt_pepper,salt_pepper_0.04,17.15,0.096,17.058,17.25,0.556,0.051,0.008,0.005
ISTA,salt_pepper,salt_pepper_0.10,14.868,0.097,14.768,14.963,0.346,0.047,0.01,0.005
ISTA,salt_pepper,salt_pepper_0.20,12.702,0.106,12.598,12.81,0.216,0.033,0.01,0.006
